dupl_subject_id,single_subject_id
40158115,40154767
40158116,40154768
40158119,40154770
40158125,40154771
40158140,40154787
40158142,40154776
40158143,40154790
40158147,40154793
40158152,40154794
40158163,40154797
40158164,40154811
40158166,40154813
40158171,40154818
40158173,40154821
40158191,40154834
40158192,40154825
40158193,40154835
40158199,40154840
40158201,40154841
40158216,40154845
40158217,40154858
40158219,40154859
40158225,40154864
40158226,40154862
40158238,40154868
40158240,40154882
40158242,40154883
40158248,40154889
40158250,40154890
40158267,40154893
40158268,40154909
40158270,40154910
40158274,40154917
40158276,40154918
40158288,40154920
40158291,40154931
40158292,40154932
40158296,40154935
40158298,40154936
40158310,40154940
40158313,40154951
40158315,40154953
40158320,40154958
40158321,40154961
40158334,40154964
40158336,40154980
40158339,40154982
40158344,40154984
40158346,40154987
40158359,40154990
40158361,40154993
40158363,40155006
40158368,40155007
40158370,40155011
40158378,40155013
40158380,40155017
40158382,40155022
40158390,40155033
40158393,40155036
40158404,40155041
40158405,40155043
40158411,40155048
40158414,40155057
40158417,40155058
40158423,40155064
40158425,40155066
40158430,40155069
40158434,40155078
40158440,40155081
40158446,40155087
40158447,40155089
40158457,40155094
40158459,40155101
40158466,40155104
40158472,40155110
40158474,40155111
40158481,40155125
40158483,40155116
40158487,40155128
40158493,40155134
40158495,40155135
40158503,40155140
40158505,40155146
40158512,40155150
40158517,40155158
40158519,40155159
40158529,40155163
40158531,40155168
40158535,40155170
40158541,40155175
40158544,40155177
40158550,40155185
40158552,40155192
40158557,40155196
40158568,40155202
40158570,40155203
40158579,40155207
40158581,40155213
40158587,40155218
40158592,40155223
40158595,40155224
40158602,40155229
40158604,40155234
40158610,40155238
40158619,40155244
40158620,40155246
40158628,40155250
40158630,40155260
40158636,40155264
40158644,40155273
40158646,40155274
40158650,40155279
40158652,40155285
40158655,40155288
40158662,40155296
40158666,40155295
40158672,40155300
40158676,40155310
40158679,40155313
40158691,40155319
40158693,40155320
40158702,40155325
40158704,40155331
40158707,40155336
40158715,40155344
40158717,40155350
40158723,40155349
40158725,40155356
40158727,40155362
40158736,40155367
40158740,40155371
40158746,40155372
40158748,40155378
40158751,40155385
40158762,40155389
40158767,40155393
40158773,40155394
40158775,40155399
40158777,40155404
40158783,40155412
40158787,40155417
40158792,40155418
40158795,40155425
40158800,40155427
40158810,40155435
40158812,40155440
40158822,40155441
40158825,40155447
40158827,40155450
40158834,40155454
40158836,40155459
40158845,40155458
40158846,40155466
40158849,40155472
40158857,40155482
40158860,40155488
40158871,40155491
40158872,40155495
40158875,40155500
40158883,40155507
40158885,40155511
40158893,40155513
40158895,40155520
40158896,40155518
40158905,40155529
40158908,40155532
40158925,40155534
40158926,40155537
40158927,40155540
40158934,40155542
40158936,40155544
40158947,40155560
40158948,40155564
40158949,40155566
40158954,40155569
40158956,40155567
40158969,40155584
40158971,40155588
40158972,40155589
40158979,40155591
40158980,40155594
40158985,40155616
40158986,40155608
40158987,40155613
40158988,40155617
40158989,40155619
40158995,39384388
40158997,40155636
40158998,40155637
40159001,39384389
40159004,40155642
40159007,40155655
40159008,39384390
40159009,40155659
40159013,40155661
40159014,39384391
40159019,40155676
40159021,40155680
40159022,39384392
40159024,40155683
40159026,40155687
40159030,39384393
40159031,40155707
40159033,40155708
40159035,39384394
40159037,40155711
40159040,40155721
40159041,39384395
40159042,40155728
40159046,40155730
40159048,39384396
40159052,40155746
40159055,40155751
40159057,39384397
40159059,40155755
40159060,40155757
40159061,39384398
40159064,40155777
40159066,40155779
40159068,39384400
40159070,40155782
40159072,40155792
40159074,39384399
40159075,40155798
40159077,40155800
40159079,39384401
40159082,40155811
40159083,40155818
40159086,39384402
40159089,40155826
40159092,40155829
40159097,39384403
40159100,40155848
40159101,40155850
40159103,39384404
40159105,40155855
40159107,40155861
40159108,39384405
40159110,40155869
40159111,40155870
40159112,39384406
40159115,40155882
40159118,40155894
40159121,39384407
40159126,40155900
40159128,40155902
40159133,39384408
40159134,40155920
40159137,40155926
40159138,39384410
40159139,40155929
40159141,40155931
40159142,39384409
40159146,40155945
40159147,40155947
40159149,39384411
40159150,40155954
40159152,40155965
40159155,39384412
40159156,40155976
40159159,40155979
40159164,39384413
40159165,40155992
40159167,40156000
40159168,39384414
40159169,40156006
40159171,40156009
40159174,39384415
40159178,40156021
40159179,40156022
40159182,39384416
40159185,40156031
40159186,40156039
40159189,39384417
40159190,40156051
40159191,40156053
40159195,39384418
40159196,40156063
40159199,40156073
40159201,39384419
40159203,40156079
40159207,40156082
40159209,39384420
40159212,40156095
40159214,40156097
40159217,39384422
40159219,40156104
40159220,40156109
40159222,39384421
40159223,40156120
40159226,40156124
40159230,39384423
40159232,40156131
40159238,39384425
40159248,39384424
40159253,39384426
40159261,39384428
40159269,39384427
40159277,39384429
40159284,39384430
40159291,39384431
40159299,39384432
40159305,39384433
40159309,39384434
40159314,39384435
40159325,39384436
40159332,39384437
40159336,39384438
40159344,39384439
40159353,39384440
40159358,39384441
40159367,39384442
40159373,39384443
40159381,39384444
40159389,39384445
40159393,39384446
40159405,39384447
40159409,39384448
40159417,39384449
40159428,39384450
40159433,39384451
40159445,39384452
40159449,39384453
40159453,39384454
40159459,39384455
40159469,39384456
40159474,39384457
40159484,39384458
40159492,39384459
40159497,39384460
40159504,39384461
40159512,39384462
40159520,39384463
40159529,39384464
40159535,39384465
40159544,39384466
40159549,39384467
40159553,39384468
40159562,39384469
40159567,39384470
40159575,39384471
40159578,39384472
40159590,39384473
40159596,39384474
40159604,39384475
40159612,39384476
40159618,39384477
40159624,39384478
40159631,39384479
40159640,39384480
40159647,39384481
40159654,39384482
40159664,39384483
40159670,39384484
40159676,39384485
40159684,39384486
40159691,39384487
40159700,39384488
40159708,39384489
40159716,39384490
40159722,39384491
40159731,39384492
40159737,39384493
40159744,39384494
40159752,39384495
40159759,39384496
40159765,39384497
40159773,39384498
40159781,39384499
40159786,39384500
40159794,39384501
40159798,39384502
40159807,39384503
40159817,39384504
40159822,39384505
40159828,39384506
40159837,39384507
40159843,39384508
40159850,39384509
40159855,39384510
40159863,39384511
40159869,39384512
40159878,39384513
40159885,39384514
40159887,39384515
40159894,39384516
40159900,39384517
40159909,39384518
40159915,39384519
40159925,39384520
40159930,39384521
40159934,39384522
40159946,39384523
40159950,39384524
40159956,39384525
40159965,39384526
40159973,39384527
40159978,39384528
40159983,39384529
40159991,39384530
40159999,39384531
40160008,39384532
40160012,39384533
40160017,39384534
40160027,39384535
40160036,39384536
40160043,39384537
40160048,39384538
40160052,39384539
40160063,39384540
40160071,39384541
40160076,39384542
40160082,39384543
40160085,39384544
40160089,39384545
40160098,39384546
40160108,39384547
40160111,39384548
40160118,39384549
40160123,39384550
40160134,39384551
40160141,39384552
40160144,39384553
40160152,39384554
40160158,39384555
40160167,39384556
40160174,39384557
40160178,39384558
40160189,39384559
40160197,39384560
40160204,39384561
40160210,39384562
40160216,39384563
40160224,39384564
40160227,39384565
40160234,39384566
40160237,39384567
40160244,39384568
40160256,39384569
40160261,39384570
40160268,39384571
40160274,39384572
40160286,39384573
40160295,39384574
40160299,39384575
40160309,39384576
40160317,39384577
40160322,39384578
40160330,39384579
40160335,39384580
40160344,39384581
40160351,39384582
40160354,39384583
40160363,39384584
40160364,39384585
40160376,39384586
40160381,39384587
40160389,39384588
40160397,39384589
40160405,39384590
40160413,39384591
40160416,39384592
40160426,39384593
40160432,39384594
40160442,39384595
40160446,39384596
40160452,39384597
40160460,39384598
40160468,39384599
40160476,39384600
40160480,39384601
40160489,39384602
40160492,39384603
40160498,39384604
40160504,39384605
40160513,39384606
40160520,39384607
40160525,39384608
40160533,39384609
40160538,39384610
40160548,39384611
40160556,39384612
40160560,39384613
40160566,39384614
40160572,39384615
40160579,39384616
40160580,39384617
40160588,39384618
40160594,39384619
40160602,39384620
40160610,39384621
40160615,39384622
40160625,39384623
40160631,39384624
40160637,39384626
40160647,39384625
40160651,39384627
40160658,39384628
40160666,39384629
40160676,39384631
40160682,39384630
40160686,39384632
40160695,39384633
40160703,39384634
40160708,39384635
40160718,39384636
40160722,39384637
40160731,39384638
40160735,39384639
40160741,39384640
40160756,39384641
40160759,39384642
40160768,39384643
40160777,39384644
40160780,39384645
40160792,39384646
40160797,39384647
40160807,39384648
40160811,39384649
40160816,39384650
40160828,39384651
40160832,39384652
40160837,39384653
40160840,39384654
40160852,39384655
40160862,39384656
40160867,39384657
40160873,39384658
40160877,39384659
40160883,39384660
40160888,39384661
40160899,39384662
40160904,39384663
40160908,39384664
40160914,39384665
40160923,39384666
40160932,39384667
40160939,39384668
40160944,39384669
40160949,39384670
40160958,39384671
40160966,39384672
40160972,39384673
40160976,39384674
40160983,39384675
40160990,39384676
40160999,39384677
40161008,39384678
40161016,39384679
40161021,39384680
40161027,39384681
40161036,39384682
40161042,39384683
40161048,39384684
40161052,39384685
40161059,39384686
40161066,39384687
